value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex,tokenID
6600000000000000000000000,0x32042ee1b3e62f285fd3a7084816119aaa75103bc66d0d112fe8cfc37b6fb706,3646951,2545915,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,81473,0x107e569b61679b553826b7aa3a62efc93e3437e4,51966,,34644,0xfa7206e41fd095c4cdd30c7dd496d5d5d0b168b49a6718cf1f5982770ca757e7,0xa9059cbb000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe16800000000000000000000000000000000000000000005759ab78815538d000000,0,6,2024-05-21 17:44:25,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
6000000000000000000000000,0x166464a46ac1723d8c92e6c5843397462ede7922f695ccd91793bcf9802135ed,3646379,2546487,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,81485,0x107e569b61679b553826b7aa3a62efc93e3437e4,51966,,34644,0x5859ebee779df1038682a9dcd59e0b575cfccb14b2cfc66d10fe715283d488f4,0xa9059cbb000000000000000000000000a67c820b9b50d8075ca99f46e86304ec7aefe16800000000000000000000000000000000000000000004f68ca6d8cd91c6000000,0,5,2024-05-21 17:25:21,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,18,Swamps GOV,GSWP,1,
,0x5b2010ea5bee8f2bd82441b95f4081ab078cedfe87502a9a43ab57861aeba821,3632983,2559883,0xc3ff47bcd686f1dbddd3e813d575863c9c97c502,787419,0x64f07dbf1cd7ff753cfa4e7b1dd4ae53ee37fd8a,800762,,638230,0x5be4bac1bde6bda37e01a69c12745350b2b2a83b91d1c48705207f775c89ffaa,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000001d01379774ca50b72865600000000000000000000000000000000000000000000000009935f581f05000000000000000000000000000000000000000000000001a1ab2084f82e23e71280000000000000000000000000000000000000000000000000089e3c35b584800000000000000000000000000000000000000000000000000000000000664c7169000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e4000000000000000000000000c3ff47bcd686f1dbddd3e813d575863c9c97c5020000000000000000000000000000000000000000000000000000000000000000,25,4,2024-05-21 09:58:49,0x107e569b61679b553826b7aa3a62efc93e3437e4,,Swamps Staking Position NFT,spNFT,3,15
689999999999999999,0x5b2010ea5bee8f2bd82441b95f4081ab078cedfe87502a9a43ab57861aeba821,3632983,2559883,0x30c52d4885165cafa5ce01a9d23ed44d15479240,787419,0x107e569b61679b553826b7aa3a62efc93e3437e4,800762,,638230,0x5be4bac1bde6bda37e01a69c12745350b2b2a83b91d1c48705207f775c89ffaa,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000001d01379774ca50b72865600000000000000000000000000000000000000000000000009935f581f05000000000000000000000000000000000000000000000001a1ab2084f82e23e71280000000000000000000000000000000000000000000000000089e3c35b584800000000000000000000000000000000000000000000000000000000000664c7169000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e4000000000000000000000000c3ff47bcd686f1dbddd3e813d575863c9c97c5020000000000000000000000000000000000000000000000000000000000000000,6,4,2024-05-21 09:58:49,0x42e89e4e0c8d1454369df64dfb64f325152af771,18,Bitcoin,BTC,3,
2191537288737588423853654,0x5b2010ea5bee8f2bd82441b95f4081ab078cedfe87502a9a43ab57861aeba821,3632983,2559883,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,787419,0x107e569b61679b553826b7aa3a62efc93e3437e4,800762,,638230,0x5be4bac1bde6bda37e01a69c12745350b2b2a83b91d1c48705207f775c89ffaa,0xee9eb0a5000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d1700000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000000000000000000000001d01379774ca50b72865600000000000000000000000000000000000000000000000009935f581f05000000000000000000000000000000000000000000000001a1ab2084f82e23e71280000000000000000000000000000000000000000000000000089e3c35b584800000000000000000000000000000000000000000000000000000000000664c7169000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e4000000000000000000000000c3ff47bcd686f1dbddd3e813d575863c9c97c5020000000000000000000000000000000000000000000000000000000000000000,4,4,2024-05-21 09:58:49,0x42e89e4e0c8d1454369df64dfb64f325152af771,18,Swamps GOV,GSWP,3,
3467115255165540608258,0x1c0e1c0e0c9eb423f1e003e1329c54f4a7459679d351e7f8025b0babd3e6cf03,3629432,2563434,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,785295,0x388d89d7b43832e679947c7cfd53e237237a9ed0,936819,,738454,0xbe504e2983bbdf592ebe3b289e7880c716f69235aaa599d9e28ea0b3e9f3ff3b,0x5ae401dc00000000000000000000000000000000000000000000000000000000664c55b30000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000002200000000000000000000000000000000000000000000000000000000000000340000000000000000000000000000000000000000000000000000000000000046000000000000000000000000000000000000000000000000000000000000005e000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000000000000124472b43f30000000000000000000000000000000000000000000000000001c6bf52634000000000000000000000000000000000000000000000000056cae71360a5692d4200000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f3000000000000000000000000000000000000000000000000000110d9316ec000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000000b5e620f48000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144b455423100000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b00000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022c4c839c4740961cc00000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064df2ab5bb000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000acca770afc30e87fa8000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e400000000000000000000000000000000000000000000000000000000,36,1,2024-05-21 08:00:27,0x107e569b61679b553826b7aa3a62efc93e3437e4,18,Swamps GOV,GSWP,1,
200000000000000,0x1c0e1c0e0c9eb423f1e003e1329c54f4a7459679d351e7f8025b0babd3e6cf03,3629432,2563434,0x30c52d4885165cafa5ce01a9d23ed44d15479240,785295,0x107e569b61679b553826b7aa3a62efc93e3437e4,936819,,738454,0xbe504e2983bbdf592ebe3b289e7880c716f69235aaa599d9e28ea0b3e9f3ff3b,0x5ae401dc00000000000000000000000000000000000000000000000000000000664c55b30000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000002200000000000000000000000000000000000000000000000000000000000000340000000000000000000000000000000000000000000000000000000000000046000000000000000000000000000000000000000000000000000000000000005e000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000000000000124472b43f30000000000000000000000000000000000000000000000000001c6bf52634000000000000000000000000000000000000000000000000056cae71360a5692d4200000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f3000000000000000000000000000000000000000000000000000110d9316ec000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000000b5e620f48000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144b455423100000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b00000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022c4c839c4740961cc00000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064df2ab5bb000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000acca770afc30e87fa8000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e400000000000000000000000000000000000000000000000000000000,21,1,2024-05-21 08:00:27,0xb11fd6cac4667298611d66d65b7cebffff76f423,18,Bitcoin,BTC,1,
300000000000000,0x1c0e1c0e0c9eb423f1e003e1329c54f4a7459679d351e7f8025b0babd3e6cf03,3629432,2563434,0x30c52d4885165cafa5ce01a9d23ed44d15479240,785295,0x107e569b61679b553826b7aa3a62efc93e3437e4,936819,,738454,0xbe504e2983bbdf592ebe3b289e7880c716f69235aaa599d9e28ea0b3e9f3ff3b,0x5ae401dc00000000000000000000000000000000000000000000000000000000664c55b30000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000002200000000000000000000000000000000000000000000000000000000000000340000000000000000000000000000000000000000000000000000000000000046000000000000000000000000000000000000000000000000000000000000005e000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000000000000124472b43f30000000000000000000000000000000000000000000000000001c6bf52634000000000000000000000000000000000000000000000000056cae71360a5692d4200000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f3000000000000000000000000000000000000000000000000000110d9316ec000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000000b5e620f48000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144b455423100000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b00000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022c4c839c4740961cc00000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064df2ab5bb000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000acca770afc30e87fa8000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e400000000000000000000000000000000000000000000000000000000,15,1,2024-05-21 08:00:27,0x42e89e4e0c8d1454369df64dfb64f325152af771,18,Bitcoin,BTC,1,
500000000000000,0x1c0e1c0e0c9eb423f1e003e1329c54f4a7459679d351e7f8025b0babd3e6cf03,3629432,2563434,0x30c52d4885165cafa5ce01a9d23ed44d15479240,785295,0x107e569b61679b553826b7aa3a62efc93e3437e4,936819,,738454,0xbe504e2983bbdf592ebe3b289e7880c716f69235aaa599d9e28ea0b3e9f3ff3b,0x5ae401dc00000000000000000000000000000000000000000000000000000000664c55b30000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000002200000000000000000000000000000000000000000000000000000000000000340000000000000000000000000000000000000000000000000000000000000046000000000000000000000000000000000000000000000000000000000000005e000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000000000000124472b43f30000000000000000000000000000000000000000000000000001c6bf52634000000000000000000000000000000000000000000000000056cae71360a5692d4200000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000400000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000555f5b7ac35f5d83e71041d1f35eca10c10fbc9b000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f3000000000000000000000000000000000000000000000000000110d9316ec000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000000b5e620f48000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d15479240000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144b455423100000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000f7ade41d0e6422309a2e0d1338e34c5280e2076b00000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022c4c839c4740961cc00000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000023d7b03427c3eeb3ebaedcf0a732ee60ad71106d000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064df2ab5bb000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d170000000000000000000000000000000000000000000000acca770afc30e87fa8000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e400000000000000000000000000000000000000000000000000000000,1,1,2024-05-21 08:00:27,0xbfdacdb79cc3574c0ba9126f7ff59949176a1e90,18,Bitcoin,BTC,1,
699872970000000000,0xefaa6813f69035e672d0f76e45b903535da496f1c43510e5aa15e9feebcb039a,3626047,2566819,0x30c52d4885165cafa5ce01a9d23ed44d15479240,207670,0x0000000000000000000000000000000000000000,162987,0,160829,0xac93d9c167d41a6b36fa9d78fb199b90e156f522acf9bf0dc45b7b1fa07c7714,0x6a761202000000000000000000000000ecd1d7553afdd6012083845bafdb39172d1bb7f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000001845530f4a5000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000120000000000000000000000000000000000000000000000000000000000000000200000000000000000000000030c52d4885165cafa5ce01a9d23ed44d1547924000000000000000000000000030c52d4885165cafa5ce01a9d23ed44d154792400000000000000000000000000000000000000000000000000000000000000002000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e4000000000000000000000000ae933fab49006331bf44e0ab4001a4a4cf3ec09e000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000009b672c214bf640000000000000000000000000000000000000000000000000000000664cca71c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c779fbd77f285aca20c51ebb43cf9131adda519337d2b2337d4cc80146800d2e880399a1f62069dec5a82fe203f6969e7a1f0e9d8b6a0991d0f03d158fabf62e4b1be72f707437485e168e95dae7538469dd84814ad3800743f27d6a9b58eea2c1871c4398b899e214ed81ca2356e130e429024ff14f07de90fc0400d947262ce7e61be62de9dd8bd5110cce4357c6b1a49d30b05c44ac1270b1a5f338647d284d09e705ec73795293e00f8108b26e9a2875795dacb685dbd4f1a144a28b6d32febb531c7ecb5313c0aa3f740290fa09eb1a88e0fc96dcd30881337019671201615f6f885eed73c58769db0bce930a1ea622800276a2f2442445021c38ca8818c2314fb11c0b4deb7e821317ff7618e06a802987e4b8e9c1082ac2d47a08817a42bd02f24862ea312dc7c2958fe0852038f5cd90dbf682988102311919ee4680d95cab56aa1ccc573aa92f53d2cc687884ec788d6a595ff66c894243181dba8c71591f7a42e155859269ce2c87a4fe92dbd4feffd29cdf39a60dac4fe6356bad92e13bf4e7bb1b392705e11a5335aa69f462b411eaafd220886da0890cc1d81e0bbcf5e583ac8f5c6a831fa870079576563db241b5e97c048d3a380bfd3eec29f30e703c9c20a61b00000000000000000000000000000000000000000000000000,0,299,2024-05-21 06:07:37,0x107e569b61679b553826b7aa3a62efc93e3437e4,18,Bitcoin,BTC,1,
55000000000000000000000000,0x6d3b3386d5a9dbc1e5e6b373ba61f1d7e8d742756f110bfc0510efcd7f13c919,3335018,2857848,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,98597,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,77616,,51744,0xc925b18d4657a46704d44556b763488f8859f904a5eaadf3aa7a9422645af18e,0xa9059cbb000000000000000000000000107e569b61679b553826b7aa3a62efc93e3437e40000000000000000000000000000000000000000002d7eb3f96e070d97000000,0,31,2024-05-14 12:26:39,0x107e569b61679b553826b7aa3a62efc93e3437e4,18,Swamps GOV,GSWP,1,
