value,blockHash,blockNumber,confirmations,contractAddress,cumulativeGasUsed,from,gas,gasPrice,gasUsed,hash,input,logIndex,nonce,timeStamp,to,tokenDecimal,tokenName,tokenSymbol,transactionIndex
43330000000000000000000000,0xa381fb9fec99d914dadf8d1e2ff18b681c9bf54be6c972f96097a5a8c013f1b2,3646574,2546290,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,464502,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,423771,,417673,0xe9755df9f7e154ee45fba6e64869ea7320156c705aee3ead12c2824d44853c4c,0xcb645e320000000000000000000000005db7cbc12a312f81b5dd81ce2bf76a52e12ae884000000000000000000000000dcf447711c03e1d7b43dae1b684501058ecb8d17000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023d77c01b66cfb05400000000000000000000000000000000000000000000000000000000000006692f8e0000000000000000000000000000000000000000000000000000000000000138800000000000000000000000000000000000000000000000000000000005033400000000000000000000000000000000000000000000000000000000000001388000000000000000000000000000000000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000000000165377616d70732041697264726f70205265776172647300000000000000000000,0,23,2024-05-21 17:31:51,0x8a9eee290ffcf4f594e1ee8f0931ff1a1d82ec5d,18,Swamps GOV,GSWP,1
107266500000000000000000,0x92ec1fba74633b6ebc4803a19fc4bd55ca9133c7819d04ea09969225958bf16b,3463213,2729651,0x4340cf4ac0c23d467a3f3088323e99cea506e519,98393,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,84510,,51540,0x39a1d93618cf39ff74a5e1c8f87097aad3ecbd17222d81bcc5b7c500eda485ed,0xa9059cbb0000000000000000000000006b7df0e099ba3b13b9a6d673283259111d026bd00000000000000000000000000000000000000000000016b6edb9d3b9ce7a0000,0,19,2024-05-17 11:39:49,0x6b7df0e099ba3b13b9a6d673283259111d026bd0,18,Swamps GOV Escrowed Token,xGSWP,1
107266500000000000000000,0x43dbf19fcdbe6086b465caacaa30540a01d3e873194134843d03bfaca6f24564,3463202,2729662,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,121753,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,84704,,74912,0x1d0f303cde27f62ab5435c5336b8da30db8316017a0b3198c8b56b6540d84ab6,0xa3908e1b0000000000000000000000000000000000000000000016b6edb9d3b9ce7a0000,2,18,2024-05-17 11:39:27,0x4340cf4ac0c23d467a3f3088323e99cea506e519,18,Swamps GOV,GSWP,1
107266500000000000000000,0x43dbf19fcdbe6086b465caacaa30540a01d3e873194134843d03bfaca6f24564,3463202,2729662,0x4340cf4ac0c23d467a3f3088323e99cea506e519,121753,0x0000000000000000000000000000000000000000,84704,,74912,0x1d0f303cde27f62ab5435c5336b8da30db8316017a0b3198c8b56b6540d84ab6,0xa3908e1b0000000000000000000000000000000000000000000016b6edb9d3b9ce7a0000,0,18,2024-05-17 11:39:27,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,18,Swamps GOV Escrowed Token,xGSWP,1
70427500000000000000000,0xd2eb778cf822238087b4b60d207fa21cabe122407017b2adbf2abbd36f49821d,3463074,2729790,0x4340cf4ac0c23d467a3f3088323e99cea506e519,98381,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,84510,,51540,0x287c84b6c99dfd9dc39d5ad4a068f390b0b2407b91f3d3062b27eca358f9cc68,0xa9059cbb000000000000000000000000ef0b33904f2149c47f70ca2a1357bf2845411cdf000000000000000000000000000000000000000000000ee9e1e69d1ce73e0000,0,16,2024-05-17 11:35:11,0xef0b33904f2149c47f70ca2a1357bf2845411cdf,18,Swamps GOV Escrowed Token,xGSWP,1
70427500000000000000000,0xf27577d8359b5ebc73653afbfad2655507344772b531bdc0f3997e3857634bae,3463052,2729812,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,126553,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,84704,,79712,0x88c7742573275ff61b993a0249d77a1f0ccec657a715236566074a46eb8775bf,0xa3908e1b000000000000000000000000000000000000000000000ee9e1e69d1ce73e0000,2,15,2024-05-17 11:34:27,0x4340cf4ac0c23d467a3f3088323e99cea506e519,18,Swamps GOV,GSWP,1
70427500000000000000000,0xf27577d8359b5ebc73653afbfad2655507344772b531bdc0f3997e3857634bae,3463052,2729812,0x4340cf4ac0c23d467a3f3088323e99cea506e519,126553,0x0000000000000000000000000000000000000000,84704,,79712,0x88c7742573275ff61b993a0249d77a1f0ccec657a715236566074a46eb8775bf,0xa3908e1b000000000000000000000000000000000000000000000ee9e1e69d1ce73e0000,0,15,2024-05-17 11:34:27,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,18,Swamps GOV Escrowed Token,xGSWP,1
6501000000000000000000,0xad39edc05bdd2cd49ed0175ffdcc9c3f1b3230c4943cb7a279ee87e1d11f1df6,3414256,2778608,0x4340cf4ac0c23d467a3f3088323e99cea506e519,98393,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,84510,,51540,0x1632fccb2bbb469736510fffe51dac5a61b4780ab96f23ca752f36ff684dd2fc,0xa9059cbb000000000000000000000000934d209b19653d8a9fd6f5d054c4149decf1abeb0000000000000000000000000000000000000000000001606b7fa039ce740000,0,13,2024-05-16 08:27:55,0x934d209b19653d8a9fd6f5d054c4149decf1abeb,18,Swamps GOV Escrowed Token,xGSWP,1
6501000000000000000000,0x3d6b91012901c287cf3de8b3b8976a8d21ce482c2503fa89f8a96a23784b75a9,3414230,2778634,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,121765,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,84704,,74912,0x37b3e28dbb75f0cf23c59102d736d5d4bc03df70b85764a8ecf668de5295a033,0xa3908e1b0000000000000000000000000000000000000000000001606b7fa039ce740000,2,12,2024-05-16 08:27:03,0x4340cf4ac0c23d467a3f3088323e99cea506e519,18,Swamps GOV,GSWP,1
6501000000000000000000,0x3d6b91012901c287cf3de8b3b8976a8d21ce482c2503fa89f8a96a23784b75a9,3414230,2778634,0x4340cf4ac0c23d467a3f3088323e99cea506e519,121765,0x0000000000000000000000000000000000000000,84704,,74912,0x37b3e28dbb75f0cf23c59102d736d5d4bc03df70b85764a8ecf668de5295a033,0xa3908e1b0000000000000000000000000000000000000000000001606b7fa039ce740000,0,12,2024-05-16 08:27:03,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,18,Swamps GOV Escrowed Token,xGSWP,1
758450000000000000000000,0x1de9db10fea70b676740a032eb6983e8b65065f8fcead7014ddfad1394cf9da0,3414184,2778680,0x4340cf4ac0c23d467a3f3088323e99cea506e519,98393,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,84510,,51540,0x5ff0a6cddc95eb2b58a2fee6b418505d2eeff8666eb7168466a01bd36006245a,0xa9059cbb0000000000000000000000000431f522dc821ce7bf2c4959dcb92fa94e30de2d00000000000000000000000000000000000000000000a09ba829afad6b880000,0,10,2024-05-16 08:25:31,0x0431f522dc821ce7bf2c4959dcb92fa94e30de2d,18,Swamps GOV Escrowed Token,xGSWP,1
650100000000000000000000,0xca731a894d01990ec5c11856359f84298164d2139900415957acf5d91cd2cd23,3414164,2778700,0x4340cf4ac0c23d467a3f3088323e99cea506e519,86093,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,58860,,39240,0x14bd55d38c4fb416be74a0a04c9b98558eeff7cff40bc36dbb1b101cafe627b5,0xa9059cbb0000000000000000000000000a2de8fb327017dfb53894ffa8b30fda81a44d690000000000000000000000000000000000000000000089a9fdda9694a5500000,0,9,2024-05-16 08:24:51,0x0a2de8fb327017dfb53894ffa8b30fda81a44d69,18,Swamps GOV Escrowed Token,xGSWP,1
1408550000000000000000000,0xacd96753d0927e673a7cc74817f99a15a628cdf83c278a10ea119dc03d262e75,3413741,2779123,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,121777,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,84716,,74924,0x056937813b40390767a9296795eb3c9ac33f6714082f9926c3d001884006b39d,0xa3908e1b000000000000000000000000000000000000000000012a45a604464210d80000,2,8,2024-05-16 08:10:45,0x4340cf4ac0c23d467a3f3088323e99cea506e519,18,Swamps GOV,GSWP,1
1408550000000000000000000,0xacd96753d0927e673a7cc74817f99a15a628cdf83c278a10ea119dc03d262e75,3413741,2779123,0x4340cf4ac0c23d467a3f3088323e99cea506e519,121777,0x0000000000000000000000000000000000000000,84716,,74924,0x056937813b40390767a9296795eb3c9ac33f6714082f9926c3d001884006b39d,0xa3908e1b000000000000000000000000000000000000000000012a45a604464210d80000,0,8,2024-05-16 08:10:45,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,18,Swamps GOV Escrowed Token,xGSWP,1
51275859000000000000000000,0x7a63f4b122d0938e52727f79740ce01f5c24af55cc62a696ac0bed4182e1984c,3335132,2857732,0xdcf447711c03e1d7b43dae1b684501058ecb8d17,98597,0xa67c820b9b50d8075ca99f46e86304ec7aefe168,77634,,51756,0x9800221c63b9972ed81260fc71712e7dcbfd011e212f9c685ac2233c798fce57,0xa9059cbb0000000000000000000000005db7cbc12a312f81b5dd81ce2bf76a52e12ae8840000000000000000000000000000000000000000002a6a15e2dd8bb7e56c0000,0,35,2024-05-14 12:30:27,0x5db7cbc12a312f81b5dd81ce2bf76a52e12ae884,18,Swamps GOV,GSWP,1
